year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status,UID,age_category,listing_instance,birth_year,ca_updated,el_updated,early_life,career
2023,4,2259,1.2 B,Soi,Abhay,Abhay Soi,1973-08-19,50.0,Male,India,India,Mumbai,Healthcare,Healthcare,,,True,,Abhay Soi1973.0,41-50,First,1973.0,True,True,page not found,page not found
2020,4,648,3.1 B,Vakil,Abhay,Abhay Vakil,1950-10-29,70.0,Male,India,India,Mumbai,Manufacturing,Manufacturing,,,False,,Abhay Vakil1950.0,60+,First,1950.0,True,True,"Vakil was born in 1951 in Mumbai. His father Arvind Vakil was one of the co-founders of Asian Paints Ltd.  Vakil completed his bachelor of science at the University of Mumbai, and another BS from Syracuse University in the United States. Vakil joined his family business Asian Paints in 1974.","Vakil was born in 1951 in Mumbai. His father Arvind Vakil was one of the co-founders of Asian Paints Ltd.  Vakil completed his bachelor of science at the University of Mumbai, and another BS from Syracuse University in the United States. Vakil joined his family business Asian Paints in 1974."
2023,4,2405,1.1 B,Bennett,Abigail,Abigail Bennett,1980-12-27,43.0,Female,United States,United States,Rochester,Food & Beverage,Food and Beverage,,,False,,Abigail Bennett1980.0,41-50,First,1980.0,True,True,page not found,page not found
2001,7,30,9.1 B,,,Abigail Johnson,1961-12-19,40.0,,United States,United States,Boston,,Finance and Investments,,,False,,Abigail Johnson1961.0,31-40,First,1961.0,True,True,"She was born in Boston, Massachusetts on December 19, 1961. Johnson and her younger siblings did not feel pressured to join the family business. As a child Johnson was attracted to her father’s work. 
Johnson attended Cambridge, Massachusetts private school Buckingham Browne & Nichols School and then graduated from William Smith College with a bachelor's degree in art history in 1984. After working as a consultant at Booz Allen Hamilton, where she met her husband, Johnson completed an MBA at Harvard Business School.","She was born in Boston, Massachusetts on December 19, 1961. Johnson and her younger siblings did not feel pressured to join the family business. As a child Johnson was attracted to her father’s work. 
Johnson attended Cambridge, Massachusetts private school Buckingham Browne & Nichols School and then graduated from William Smith College with a bachelor's degree in art history in 1984. After working as a consultant at Booz Allen Hamilton, where she met her husband, Johnson completed an MBA at Harvard Business School."
2001,7,312,1.6 B,,,Abilio dos Santos Diniz,1936-12-28,65.0,,Brazil,Brazil,Sao Paulo,,Retail,,,False,,Abilio dos Santos Diniz1936.0,60+,First,1936.0,True,True,"Diniz is the first of the six children born to Floripes Pires and Valentim Diniz. His father, Valentim, was born in 1913 in the countryside of Portugal, and immigrated to Brazil in November 1929.
Diniz studied at Anglo-Latino school and Mackenzie high school. He graduated in 1959 from the School of Business Administration of Fundação Getúlio Vargas. In 1965, Diniz traveled to the United States to study Marketing at Ohio University and Economics at Columbia University, in New York.","Diniz is the first of the six children born to Floripes Pires and Valentim Diniz. His father, Valentim, was born in 1913 in the countryside of Portugal, and immigrated to Brazil in November 1929.
Diniz studied at Anglo-Latino school and Mackenzie high school. He graduated in 1959 from the School of Business Administration of Fundação Getúlio Vargas. In 1965, Diniz traveled to the United States to study Marketing at Ohio University and Economics at Columbia University, in New York."
2015,3,1712,1.05 B,Bakeri,Achal,Achal Bakeri,1960-01-09,55.0,Male,India,India,Ahmedabad,Manufacturing,Manufacturing,,,True,,Achal Bakeri1960.0,51-60,First,1960.0,True,True,"Bakeri was born in Mumbai, Maharashtra, to father Anil Bakeri, a real estate businessman, and mother Hansabahen.Bakeri completed his diploma in architecture from CEPT University, located in Ahmedabad, and a Master of Business Administration in the United States from the University of Southern California, located in Los Angeles, California.","Bakeri was born in Mumbai, Maharashtra, to father Anil Bakeri, a real estate businessman, and mother Hansabahen.Bakeri completed his diploma in architecture from CEPT University, located in Ahmedabad, and a Master of Business Administration in the United States from the University of Southern California, located in Los Angeles, California."
2017,3,814,2.5 B,Balkrishna,Acharya,Acharya Balkrishna,1972-07-25,45.0,Male,India,India,Haridwar,Food and Beverage,Food and Beverage,,,True,,Acharya Balkrishna1972.0,41-50,First,1972.0,True,True,"Balkrishna was born on 4 August 1972 in Haridwar, Uttarakhand (then Uttar Pradesh) to Nepalese immigrants, Sumitra Devi and Jay Vallabh Subedi originating from Syangja, Nepal. He spent his childhood in Nepal. He returned to India and studied at Khanpur Gurukul in Haryana, where he met Ramdev.","Balkrishna was born on 4 August 1972 in Haridwar, Uttarakhand (then Uttar Pradesh) to Nepalese immigrants, Sumitra Devi and Jay Vallabh Subedi originating from Syangja, Nepal. He spent his childhood in Nepal. He returned to India and studied at Khanpur Gurukul in Haryana, where he met Ramdev."
2012,3,578,2.2 B,Hamami,Achmad,Achmad Hamami,1930-07-29,82.0,Male,Indonesia,Indonesia,Jakarta,Construction & Engineering,Construction and Engineering,,,True,,Achmad Hamami1930.0,60+,First,1930.0,True,True,page not found,page not found
2019,3,1941,1.1 B,Bowen,Adam,Adam Bowen,1975-09-18,44.0,Male,United States,United States,San Mateo,Manufacturing,Manufacturing,Juul Labs,Chief Technology Officer,True,,Adam Bowen1975.0,41-50,First,1975.0,True,True,"Adam Bowen (born 1974/1975) is an American businessman, and the co-founder (with James Monsees) and currently advisor at Juul Labs, an electronic cigarette company.
Bowen earned a BA in physics from Pomona College, followed by an MS in product design from Stanford University.In December 2018, following Altria taking a 35% stake in Juul, Bowen's net worth increased from an estimated $730 million to more than $1.1 billion. After subsequent write-downs of the value of Juul, Forbes no longer considers Bowen a billionaire as of 2020.Bowen is married, with three children, and lives in San Mateo, California.


== References ==","Adam Bowen (born 1974/1975) is an American businessman, and the co-founder (with James Monsees) and currently advisor at Juul Labs, an electronic cigarette company.
Bowen earned a BA in physics from Pomona College, followed by an MS in product design from Stanford University.In December 2018, following Altria taking a 35% stake in Juul, Bowen's net worth increased from an estimated $730 million to more than $1.1 billion. After subsequent write-downs of the value of Juul, Forbes no longer considers Bowen a billionaire as of 2020.Bowen is married, with three children, and lives in San Mateo, California.


== References =="
2022,4,2190,1.3 B,Foroughi,Adam,Adam Foroughi,1980-05-07,42.0,Male,United States,United States,Truckee,Media & Entertainment,Media and Entertainment,,,True,,Adam Foroughi1980.0,41-50,First,1980.0,True,True,"Adam Foroughi is an Iranian-American billionaire businessman and the chief executive officer (CEO) of AppLovin, a mobile technology company.","Adam Foroughi is an Iranian-American billionaire businessman and the chief executive officer (CEO) of AppLovin, a mobile technology company."
2019,3,916,2.5 B,Kwok,Adam,Adam Kwok,1983-04-01,36.0,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,Real Estate,,,False,,Adam Kwok1983.0,31-40,First,1983.0,True,True,page not found,page not found
2016,3,1198,1.5 B,Neumann,Adam,Adam Neumann,1979-04-01,37.0,Male,Israel,United States,New York,Real Estate,Real Estate,,,True,,Adam Neumann1979.0,31-40,First,1979.0,True,True,"Neumann was born and raised in Beersheba, Israel. His parents divorced when he was seven, and he lived in 13 different homes by the time he was 22. His younger sister Adi Neumann, is a model and former Miss Teen Israel. He has dyslexia and could not read or write until he was in third grade.In his teens, he lived on a kibbutz in southern Israel. He served as a junior officer in the Israeli Navy. He has spoken of observing Shabbat with his family every week and the role Judaism has played in his personal and professional growth.He attended the Zicklin School of Business at Baruch College in New York City.","Neumann was born and raised in Beersheba, Israel. His parents divorced when he was seven, and he lived in 13 different homes by the time he was 22. His younger sister Adi Neumann, is a model and former Miss Teen Israel. He has dyslexia and could not read or write until he was in third grade.In his teens, he lived on a kibbutz in southern Israel. He served as a junior officer in the Israeli Navy. He has spoken of observing Shabbat with his family every week and the role Judaism has played in his personal and professional growth.He attended the Zicklin School of Business at Baruch College in New York City."
2003,3,386,1.1 B,,,Adi Godrej,1942-04-03,61.0,,India,India,Bombay,,Manufacturing,,,False,,Adi Godrej1942.0,60+,First,1942.0,True,True,"Godrej completed his schooling at St. Xavier's High School and then St. Xavier's College, Mumbai for two years. He earned an undergraduate degree from HL college and an MBA from the MIT Sloan School of Management, where he was a member of the Pi Lambda Phi fraternity and a member of Tau Beta Pi.","Godrej completed his schooling at St. Xavier's High School and then St. Xavier's College, Mumbai for two years. He earned an undergraduate degree from HL college and an MBA from the MIT Sloan School of Management, where he was a member of the Pi Lambda Phi fraternity and a member of Tau Beta Pi."
2023,4,1647,1.8 B,Mol,Adriaan,Adriaan Mol,1984-03-14,39.0,Male,Netherlands,Netherlands,Amsterdam,Technology,Technology,,,True,,Adriaan Mol1984.0,31-40,First,1984.0,True,True,page not found,page not found
2022,4,2578,1.0 B,Paval,Adrian,Adrian Paval,1968-09-23,54.0,Male,Romania,Romania,Bacau,Fashion & Retail,Fashion and Retail,,,True,,Adrian Paval1968.0,51-60,First,1968.0,True,True,page not found,page not found
2018,3,965,2.5 B,Lauder,Aerin,Aerin Lauder,1970-04-23,48.0,Female,United States,United States,New York,Fashion & Retail,Fashion and Retail,,,False,Increased,Aerin Lauder1970.0,41-50,First,1970.0,True,True,"Aerin Rebecca Lauder Zinterhofer (born April 23, 1970) is an American billionaire heiress and businesswoman.","Aerin Rebecca Lauder Zinterhofer (born April 23, 1970) is an American billionaire heiress and businesswoman."
2014,3,1465,1.1 B,Lauder Zinterhofer,Aerin,Aerin Lauder Zinterhofer,1970-04-23,44.0,Female,United States,United States,New York,Fashion & Retail,Fashion and Retail,,,False,,Aerin Lauder Zinterhofer1970.0,41-50,First,1970.0,True,True,"Aerin Rebecca Lauder Zinterhofer (born April 23, 1970) is an American billionaire heiress and businesswoman.","Aerin Rebecca Lauder Zinterhofer (born April 23, 1970) is an American billionaire heiress and businesswoman."
2018,3,351,5.4 B,Thinggaard,Agnete Kirk,Agnete Kirk Thinggaard,1983-05-18,35.0,Female,Denmark,Denmark,Billund,Manufacturing,Manufacturing,,,False,,Agnete Kirk Thinggaard1983.0,31-40,First,1983.0,True,True,"Agnete Kirk Thinggaard (born 18 May 1983) is a Danish Olympic dressage rider. Representing Denmark, she competed at the 2016 Summer Olympics in Rio de Janeiro where she finished 26th in the individual and 6th in the team competition.
Kirk Thinggaard also competed at two editions of Dressage World Cup finals (in 2015 and 2016), achieving 11th and 9th place, respectively.
She is the youngest daughter of former Lego CEOs Kjeld Kirk Kristiansen, granddaughter of Godtfred Kirk Christiansen and great-granddaughter of the company founder Ole Kirk Christiansen.","Agnete Kirk Thinggaard (born 18 May 1983) is a Danish Olympic dressage rider. Representing Denmark, she competed at the 2016 Summer Olympics in Rio de Janeiro where she finished 26th in the individual and 6th in the team competition.
Kirk Thinggaard also competed at two editions of Dressage World Cup finals (in 2015 and 2016), achieving 11th and 9th place, respectively.
She is the youngest daughter of former Lego CEOs Kjeld Kirk Kristiansen, granddaughter of Godtfred Kirk Christiansen and great-granddaughter of the company founder Ole Kirk Christiansen."
2008,3,785,1.5 B,,,Ahmet Calik,1958-03-01,50.0,,Turkey,Turkey,Istanbul,,,,,False,,Ahmet Calik1958.0,41-50,First,1958.0,True,True,Ahmet Çalık is a Turkish businessman who is the chairman of Çalık Holding.He is married with four children and lives in Istanbul.,Ahmet Çalık is a Turkish businessman who is the chairman of Çalık Holding.He is married with four children and lives in Istanbul.
2005,3,620,1.0 B,,,Ahmet Nazif Zorlu,1944-08-28,61.0,,Turkey,Turkey,Istanbul,,,,,False,,Ahmet Nazif Zorlu1944.0,60+,First,1944.0,True,True,"Ahmet Nazif Zorlu (botn 28 August 1944 in Babadağ, Turkey) is a Turkish businessman, a billionaire and chairman of Zorlu Holding.","Ahmet Nazif Zorlu (botn 28 August 1944 in Babadağ, Turkey) is a Turkish businessman, a billionaire and chairman of Zorlu Holding."
2008,3,962,1.2 B,,,Ahsen Ozokur,1950-08-14,58.0,,Turkey,Turkey,Istanbul,,Food and Beverage,,,False,,Ahsen Ozokur1950.0,51-60,First,1950.0,True,True,page not found,page not found
2013,3,1268,1.1 B,Shaimiev,Airat,Airat Shaimiev,1962-03-07,51.0,Male,Russia,Russia,Kazan,Energy,Energy,,,True,,Airat Shaimiev1962.0,51-60,First,1962.0,True,True,page not found,page not found
2019,3,290,5.9 B,Srivaddhanaprabha,Aiyawatt,Aiyawatt Srivaddhanaprabha,1985-07-01,34.0,Male,Thailand,Thailand,Bangkok,Fashion & Retail,Fashion and Retail,,,False,,Aiyawatt Srivaddhanaprabha1985.0,31-40,First,1985.0,True,True,"Aiyawatt 'Top' Srivaddhanaprabha (Thai: อัยยวัฒน์ ศรีวัฒนประภา, Chinese name: 徐盛源), (born Aiyawatt Raksriaksorn, 26 July 1985) is a Thai businessman, the CEO and chairman of King Power, and the chairman of Leicester City F.C. and OH Leuven. On Forbes' 2020 World’s Billionaires List he was one of the five youngest billionaires in Asia.","Aiyawatt 'Top' Srivaddhanaprabha (Thai: อัยยวัฒน์ ศรีวัฒนประภา, Chinese name: 徐盛源), (born Aiyawatt Raksriaksorn, 26 July 1985) is a Thai businessman, the CEO and chairman of King Power, and the chairman of Leicester City F.C. and OH Leuven. On Forbes' 2020 World’s Billionaires List he was one of the five youngest billionaires in Asia."
2011,3,736,1.7 B,Kalsi,Ajay,Ajay Kalsi,1961-01-01,50.0,Male,India,India,Delhi,Energy,Energy,,,True,,Ajay Kalsi1961.0,41-50,First,1961.0,True,True,"Ajay Kalsi was born in October 1960, educated at the Scindia School, and received a bachelor's degree in economics from the London School of Economics followed by a master's degree in economics from Cambridge University.","Ajay Kalsi was born in October 1960, educated at the Scindia School, and received a bachelor's degree in economics from the London School of Economics followed by a master's degree in economics from Cambridge University."
2020,4,1513,1.4 B,Parekh,Ajay,Ajay Parekh,1957-06-23,63.0,Male,India,India,Mumbai,Manufacturing,Manufacturing,,,False,,Ajay Parekh1957.0,60+,First,1957.0,True,True,page not found,page not found
2010,3,937,1.0 B,Piramal,Ajay,Ajay Piramal,1955-08-03,55.0,Male,India,India,Mumbai,,Healthcare,,,False,,Ajay Piramal1955.0,51-60,First,1955.0,True,True,"Ajay Piramal was born to Gopikisan Piramal and Lalita Piramal in Rajasthan, India on 3 August 1955. In 1977, at age 22, Piramal started out in his family's textile business, founded in 1934 by his grandfather Piramal Chatrabhuj. His father, Gopikisan Piramal, died in 1979, and after five years he lost an older brother to cancer, prompting him to take over the business.Piramal holds a bachelor's degree in Science from the Jai Hind College and Basantsingh Institute of Science, University of Mumbai (then Bombay), a master's degree in management studies from Jamnalal Bajaj Institute of Management Studies, University of Mumbai, and in 1992 attended the six-week Advanced Management Programme at Harvard Business School. Piramal has received an honorary doctorate by Amity University, India and Honorary Doctor of Science from IIT Indore.","Ajay Piramal was born to Gopikisan Piramal and Lalita Piramal in Rajasthan, India on 3 August 1955. In 1977, at age 22, Piramal started out in his family's textile business, founded in 1934 by his grandfather Piramal Chatrabhuj. His father, Gopikisan Piramal, died in 1979, and after five years he lost an older brother to cancer, prompting him to take over the business.Piramal holds a bachelor's degree in Science from the Jai Hind College and Basantsingh Institute of Science, University of Mumbai (then Bombay), a master's degree in management studies from Jamnalal Bajaj Institute of Management Studies, University of Mumbai, and in 1992 attended the six-week Advanced Management Programme at Harvard Business School. Piramal has received an honorary doctorate by Amity University, India and Honorary Doctor of Science from IIT Indore."
2011,3,993,1.2 B,Nitori,Akio,Akio Nitori,1944-01-01,67.0,Male,Japan,,,,Fashion and Retail,,,True,,Akio Nitori1944.0,60+,First,1944.0,True,True,page not found,page not found
2001,7,130,3.3 B,,,Akira Mori,1936-07-12,65.0,,Japan,Japan,Tokyo,,Real Estate,,,False,,Akira Mori1936.0,60+,First,1936.0,True,True,"Akira Mori (森 章, Mori Akira, born July 1936) is a Japanese property developer, and the chairman of Mori Trust, a real estate developer in Tokyo, Japan and an offshoot of Mori Building, the company his father Taikichiro Mori founded in 1959. As of July 2022, his net worth was estimated at US$3.0 billion.Mori was born in Kyoto, Japan in July 1936. He attended Keio University, graduating in 1960, and joining Yasuda Trust & Banking (now part of Mizuho Trust & Banking). He formally joined Mori Building as an employee in 1972.Following their father's death in 1993, he and his older brother Minoru Mori inherited the family business and in 1999 they split it after a falling-out. Akira headed Mori Trust, while his brother headed what was left of the Mori Building company until his death on March 8, 2012. Mori Trust owns and operates 67 buildings, manages 89 buildings, consisting of office and residential buildings, mainly in central Tokyo and other major Japanese cities. These include the Tokyo Shiodome Building in a commercial district near Tokyo Bay, and about 30 hotels including the Conrad Tokyo. He expressed interest in expanding the company's Tokyo real estate portfolio in 2013 in the midst of economic reforms being enacted by Prime Minister Shinzo Abe.Mori has selected his only daughter Miwako Date, who served as president of Mori Trust Hotels & Resorts, in 2016 to take over the Mori Trust business. Akira Mori is now assuming the role of Chairman of the Board of Mori Trust.


== References ==","Akira Mori (森 章, Mori Akira, born July 1936) is a Japanese property developer, and the chairman of Mori Trust, a real estate developer in Tokyo, Japan and an offshoot of Mori Building, the company his father Taikichiro Mori founded in 1959. As of July 2022, his net worth was estimated at US$3.0 billion.Mori was born in Kyoto, Japan in July 1936. He attended Keio University, graduating in 1960, and joining Yasuda Trust & Banking (now part of Mizuho Trust & Banking). He formally joined Mori Building as an employee in 1972.Following their father's death in 1993, he and his older brother Minoru Mori inherited the family business and in 1999 they split it after a falling-out. Akira headed Mori Trust, while his brother headed what was left of the Mori Building company until his death on March 8, 2012. Mori Trust owns and operates 67 buildings, manages 89 buildings, consisting of office and residential buildings, mainly in central Tokyo and other major Japanese cities. These include the Tokyo Shiodome Building in a commercial district near Tokyo Bay, and about 30 hotels including the Conrad Tokyo. He expressed interest in expanding the company's Tokyo real estate portfolio in 2013 in the midst of economic reforms being enacted by Prime Minister Shinzo Abe.Mori has selected his only daughter Miwako Date, who served as president of Mori Trust Hotels & Resorts, in 2016 to take over the Mori Trust business. Akira Mori is now assuming the role of Chairman of the Board of Mori Trust.


== References =="
2013,3,1250,1.15 B,Bouchard,Alain,Alain Bouchard,1949-02-18,64.0,Male,Canada,Canada,Montreal,Fashion & Retail,Fashion and Retail,Alimentation Couche Tard Inc. Cl A,Entrepreneur,True,,Alain Bouchard1949.0,60+,First,1949.0,True,True,"Alain Bouchard was born in 1949, in Chicoutimi, Quebec, and was one of six children. His parents were devout Catholics, as was most of Quebec at that time. His father, Jean-Paul Bouchard, owned an excavation company and was ambitious and a tireless worker, despite only having three years of elementary school education. Bouchard’s mother, who went to school through the seventh grade, managed the company’s finances.Bouchard's father once owned and managed a road-construction business in Quebec.  When his father's company went bankrupt, the family moved to a mobile home in the village of Micoua.","Alain Bouchard was born in 1949, in Chicoutimi, Quebec, and was one of six children. His parents were devout Catholics, as was most of Quebec at that time. His father, Jean-Paul Bouchard, owned an excavation company and was ambitious and a tireless worker, despite only having three years of elementary school education. Bouchard’s mother, who went to school through the seventh grade, managed the company’s finances.Bouchard's father once owned and managed a road-construction business in Quebec.  When his father's company went bankrupt, the family moved to a mobile home in the village of Micoua."
2005,3,620,1.0 B,,,Alain Merieux,1938-01-01,67.0,,France,France,Lyon,,Healthcare,,,False,,Alain Merieux1938.0,60+,First,1938.0,True,True,page not found,page not found
2012,3,1153,1.0 B,Taravella,Alain,Alain Taravella,1948-01-01,64.0,Male,France,France,Paris,Real Estate,Real Estate,,,True,,Alain Taravella1948.0,60+,First,1948.0,True,True,"Alain Taravella (born 24 May 1948) is a French entrepreneur, billionaire and the co-founder, chairman and CEO of the Altarea SCA real estate group.","Alain Taravella (born 24 May 1948) is a French entrepreneur, billionaire and the co-founder, chairman and CEO of the Altarea SCA real estate group."
2014,3,141,9.0 B,Wertheimer,Alain,Alain Wertheimer,1948-08-28,66.0,Male,France,United States,New York,Fashion & Retail,Fashion and Retail,,,False,,Alain Wertheimer1948.0,60+,First,1948.0,True,True,"Wertheimer was born on 28 September 1948, to a Jewish family, the son of Jacques Wertheimer and Eliane Fischer. His grandfather, Pierre, co-founded Chanel with Coco Chanel.","Wertheimer was born on 28 September 1948, to a Jewish family, the son of Jacques Wertheimer and Eliane Fischer. His grandfather, Pierre, co-founded Chanel with Coco Chanel."
2001,7,70,5.0 B,,,Alain and Gerard Wertheimer,,,,France,France,Paris,,Apparel,,,False,,Alain and Gerard Wertheimernan,-,First,,True,True,page not found,page not found
